
Params (m, r, d): 6,0,4, 0,4 ----> Map@1 = 0.3902439024390244
Params (m, r, d): 6,0,4, 0,5 ----> Map@1 = 0.3902439024390244
Params (m, r, d): 6,0,4, 0,6 ----> Map@1 = 0.3902439024390244
Params (m, r, d): 6,0,4, 0,7 ----> Map@1 = 0.3902439024390244
Params (m, r, d): 6,0,4, 0,8 ----> Map@1 = 0.3902439024390244
Params (m, r, d): 6,0,4, 0,9 ----> Map@1 = 0.3902439024390244
Params (m, r, d): 6,0,4, 1,0 ----> Map@1 = 0.3902439024390244
Params (m, r, d): 6,0,4, 1,1 ----> Map@1 = 0.3902439024390244
Params (m, r, d): 6,0,4, 1,2 ----> Map@1 = 0.3902439024390244
Params (m, r, d): 6,0,4, 1,3 ----> Map@1 = 0.3902439024390244
Params (m, r, d): 6,0,4, 1,4 ----> Map@1 = 0.3902439024390244
Params (m, r, d): 6,0,5, 0,4 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 6,0,5, 0,5 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 6,0,5, 0,6 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 6,0,5, 0,7 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 6,0,5, 0,8 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 6,0,5, 0,9 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 6,0,5, 1,0 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 6,0,5, 1,1 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 6,0,5, 1,2 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 6,0,5, 1,3 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 6,0,5, 1,4 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 6,0,6, 0,4 ----> Map@1 = 0.7317073170731707
Params (m, r, d): 6,0,6, 0,5 ----> Map@1 = 0.8536585365853658
Params (m, r, d): 6,0,6, 0,6 ----> Map@1 = 0.8536585365853658
Params (m, r, d): 6,0,6, 0,7 ----> Map@1 = 0.8536585365853658
